id_site,nom,region,ville_commune,type_activite,sous_types_tags,latitude,longitude,adresse_ou_description_localisation,difficulte,duree_typique_visite,prix_approximatif_ar,prix_approximatif_eur,saison_recommandee,note_moyenne,nombre_avis,source_note,lien_page,description_courte,acces_transport,contraintes,cluster
138,Maison de Jean Laborde,Antananarivo Province,Mantasoa,Culture et histoire,"Site historique, Architecture",-18.9786,47.4858,Près de Lemurs' Park,Facile,1.0,7000,1.4,Mai à octobre,4.1,7,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g293809-d614260-Reviews-Maison_de_Jean_Laborde-Antananarivo_Antananarivo_Province.html,Ancienne maison d'un aventurier français,Taxi,Aucune,2
139,Cathédrale catholique d'Andohalo,Antananarivo Province,Antananarivo,Culture et histoire,"Cathédrale, Historique",-18.9158,47.5283,Ville haute,Facile,0.5,0,0.0,Mai à octobre,4.464354527938343,0,Booking.com,https://www.booking.com/attractions/mg/prj-andohalo-cathedral.en-gb.html,Cathédrale catholique historique dans la ville haute,Marche,Aucune,2
140,Mer d'Émeraude,Antsiranana Province,Antsiranana,Plages et littoral,"Lagune émeraude, Excursion bateau",-12.1667,49.2833,Baie près de Diego Suarez,Facile,4.0,15000,3.0,Mai à octobre,4.7,800,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g293808-d1234567-Reviews-Mer_d_Emeraude-Madagascar.html,Lagune aux eaux cristallines turquoise unique,Bateau depuis Ramena,Marées,0
141,Ramena Beach,Antsiranana Province,Antsiranana,Plages et littoral,"Plage sable blanc, Baignade",-12.2333,49.35,Baie de Diego,Facile,3.0,0,0.0,Avril à novembre,4.6,500,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g293808-d8765432-Reviews-Ramena_Beach-Madagascar.html,Longue plage de sable blanc idéale pour baignade,Taxi-brousse,Aucune,0
142,Montagne des Français,Antsiranana Province,Antsiranana,Aventure et randonnée,"Point de vue, Historique WWII",-12.2833,49.3333,Près de Diego Suarez,Moyen,2.0,5000,1.0,Avril à novembre,4.4,300,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g293808-d9876543-Reviews-Montagne_des_Francais-Madagascar.html,Site historique et panorama spectaculaire,Voiture ou marche,Randonnée raide,0
143,Parc National de l'Isalo,Toliara Province,Ranohira,Nature et parcs nationaux,"Canyons, Piscines naturelles",-22.55,45.3833,Massif ruiniforme sud-ouest,Moyen,8.0,25000,5.0,Avril à novembre,4.8,2000,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298274-d614261-Reviews-Isalo_National_Park-Madagascar.html,Massif ruiniforme avec canyons et piscines naturelles,Voiture + guide,Randonnée physique,5
144,Tsingy de Bemaraha,Melaky Region,Antsalova,Géologie et paysages,"Tsingy karstiques, UNESCO",-18.9167,44.8333,Ouest Madagascar,Difficile,8.0,35000,7.0,Juin à septembre,4.9,1500,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298275-d614262-Reviews-Tsingy_de_Bemaraha-Madagascar.html,Formations karstiques uniques au monde (UNESCO),4x4 + bateau,Accès difficile,5
145,Andasibe-Mantadia National Park,Alaotra-Mangoro,Andasibe,Nature et parcs nationaux,"Forêt humide, Indri lemurs",-18.9333,48.4167,Est d'Antananarivo,Moyen,8.0,25000,5.0,Avril à novembre,4.7,1800,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298276-d614263-Reviews-Andasibe_Mantadia-Madagascar.html,Meilleur spot pour voir indri et lémuriens,Taxi-brousse depuis Tana,Sentiers humides,5
146,Ranomafana National Park,Haute Matsiatra,Ranomafana,Nature et parcs nationaux,"Forêt tropicale, Sources thermales",-21.2,47.4,Sud-est,Moyen,8.0,25000,5.0,Avril à novembre,4.6,1200,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298277-d614264-Reviews-Ranomafana_National_Park-Madagascar.html,Forêt humide avec lémuriens et sources thermales,Voiture + guide,Sentiers glissants,5
147,Anja Community Reserve,Haute Matsiatra,Ambalavao,Observation animalière,"Lémuriens catta, Réserve communautaire",-21.8333,46.9333,Près d'Ambalavao,Facile,2.5,10000,2.0,Mai à octobre,4.8,2500,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298278-d614265-Reviews-Anja_Reserve-Madagascar.html,Réserve communautaire avec troupeaux de makis catta,Voiture,Aucune,5
148,Avenue des Baobabs (suite),Toliara Province,Morondava,Nature et parcs nationaux,"Baobabs, Photographie",-20.2667,44.45,Près de Morondava,Facile,,0,0.0,Mai à octobre,4.7,3000,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298273-d1230499-Reviews-Avenue_of_the_Baobabs-Madagascar.html,Extension iconique des baobabs au coucher du soleil,Voiture,Route poussiéreuse,5
149,Nosy Komba,Antsiranana Province,Nosy Be,Plages et littoral,"Île aux lémuriens, Artisanat",-13.4667,48.3667,Archipel Nosy Be,Facile,4.0,15000,3.0,Mai à octobre,4.5,900,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d614266-Reviews-Nosy_Komba-Nosy_Be-Madagascar.html,Île aux lémuriens apprivoisés et village artisanal,Bateau depuis Nosy Be,Aucune,0
150,Andilana Beach,Antsiranana Province,Nosy Be,Plages et littoral,"Plage paradisiaque, Coucher de soleil",-13.2833,48.2333,Nord de Nosy Be,Facile,3.0,0,0.0,Mai à octobre,4.6,700,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d20072526-Reviews-Andilana_Beach-Nosy_Be-Madagascar.html,Une des plus belles plages de Nosy Be,Voiture ou tuk-tuk,Aucune,0
151,Masoala National Park,Analanjirofo,Maroantsetra,Nature et parcs nationaux,"Forêt tropicale, Biodiversité marine, Lémuriens",-15.5667,50.2833,"Péninsule de Masoala, nord-est",Moyen,8.0,30000,6.0,Mai à octobre,4.7,420,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/masoala-national-park,Plus grand parc combinant forêt humide et récifs coralliens protégés,Voiture + bateau depuis Maroantsetra,"Sentiers humides, moustiques",4
152,Ifaty Beach,Atsimo-Andrefana,Ifaty,Plages et littoral,"Plage, Snorkeling, Village Vezo",-23.15,43.6,Côte sud-ouest près de Toliara,Facile,4.0,0,0.0,Avril à décembre,4.5,620,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/ifaty,Station balnéaire authentique avec récifs et pêcheurs Vezo,Taxi-brousse ou bateau,Aucune,1
153,Fort Dauphin (Taolagnaro),Anosy,Taolagnaro,Culture et histoire,"Ville côtière, Plages, Histoire coloniale",-25.0318,46.9993,Sud-est Madagascar,Facile,2.5,0,0.0,Mai à novembre,4.2,320,Scott Dunn,https://www.scottdunn.com/madagascar/places-to-visit/fort-dauphin,Ville portuaire avec plages et patrimoine colonial,Taxi ou marche locale,Aucune,6
154,Île Sainte Marie (Nosy Boraha),Analanjirofo,Ambodifotatra,Plages et littoral,"Île, Observation baleines, Histoire pirates",-16.9,49.9,Est côtier,Facile,24.0,0,0.0,Juin à septembre,4.6,850,Gokite Tour,https://om.gokite.travel/top-must-visit-places-in-madagascar,Île paradisiaque avec baleines à bosse et cimetière des pirates,Bateau depuis Soanierana Ivongo,Marées pour excursions,3
155,Anakao Beach,Atsimo-Andrefana,Anakao,Plages et littoral,"Plage sauvage, Pêche Vezo, Snorkeling",-23.6667,43.65,Sud-ouest côtier,Facile,4.0,0,0.0,Avril à décembre,4.5,520,SafariBookings,https://www.safaribookings.com/blog/top-15-best-things-visit-madagascar,Village pêcheurs Vezo avec plages isolées et récifs coralliens,Bateau depuis Toliara,Aucune,1
156,Amber Mountain National Park,Diana,Joffreville,Nature et parcs nationaux,"Forêt humide, Cascades, Volcanisme",-12.6,49.15,Nord près d'Antsiranana,Moyen,8.0,25000,5.0,Avril à novembre,4.6,410,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/amber-mountain,Parc volcanique avec cascades et forêt tropicale dense,Voiture + randonnée,Sentiers escarpés,3
157,Anjajavy Private Nature Reserve,Boeny,Anjajavy,Écotourisme,"Réserve privée, Plages isolées, Lémuriens",-15.0333,47.2333,Nord-ouest côtier,Facile,24.0,50000,10.0,Mai à octobre,4.8,220,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/anjajavy-reserve,Réserve privée luxueuse avec baies et biodiversité exceptionnelle,Avion privé ou bateau,Accès réservé,3
158,Ankarana National Park,Diana,Ambilobe,Géologie et paysages,"Tsingy, Grottes, Crocodiles sacrés",-13.0667,48.9167,Nord près d'Ambilobe,Moyen,8.0,20000,4.0,Juin à novembre,4.7,720,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298272-d614267,Forêt sèche avec tsingy calcaires et grottes aux crocodiles,Voiture + guide,Terrains rocheux,3
159,Ankarafantsika National Park,Boeny,Ambondromamy,Nature et parcs nationaux,"Forêt sèche, Lac sacré, Oiseaux",-16.25,46.9,Nord-ouest près de Mahajanga,Moyen,8.0,20000,4.0,Mai à octobre,4.5,310,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/ankarafantsika,"Parc avec forêt sèche, lac sacré et riche avifaune",Voiture depuis Mahajanga,Aucune,3
160,Baie de Baly National Park,Boeny,Soalala,Nature et parcs nationaux,"Mangroves, Forêt sèche, Littoral",-16.05,45.2667,Nord-ouest côtier,Moyen,8.0,20000,4.0,Juin à septembre,4.4,160,SafariBookings,https://www.safaribookings.com/parks/baie-de-baly-national-park,"Parc combinant mangroves, forêt et zone marine",4x4 + bateau,Accès difficile,3
161,Berenty Reserve,Anosy,Amboasary Sud,Observation animalière,"Réserve privée, Lémuriens, Forêt épineuse",-25.0,46.3,Sud près de Taolagnaro,Facile,8.0,30000,6.0,Mai à octobre,4.6,520,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/berenty-reserve,Réserve privée iconique pour observer lémuriens et forêt épineuse,Voiture depuis Fort Dauphin,Aucune,3
162,Canal des Pangalanes,Atsinanana,Mananjary,Nature et parcs nationaux,"Canal naturel, Forêt littorale, Villages",-21.2167,48.3333,Côte est entre Toamasina et Mananjary,Moyen,8.0,15000,3.0,Mai à octobre,4.5,420,Gokite Tour,https://om.gokite.travel/top-must-visit-places-in-madagascar,Canal bordé de forêt et villages traditionnels Betsimisaraka,Pirogue ou bateau motorisé,Insectes,3
163,Kirindy Forest,Menabe,Morondava,Nature et parcs nationaux,"Forêt sèche, Fossa, Lémuriens nocturnes",-20.8333,44.1667,Ouest près de Morondava,Moyen,8.0,20000,4.0,Mai à octobre,4.7,320,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/kirindy-forest,Forêt sèche avec fossa et observation nocturne de lémuriens,Voiture depuis Morondava,Nuit pour nocturnalité,1
164,Lac Tritriva,Vakinankaratra,Belazao,Volcanisme et lacs,"Lac volcanique, Sacré, Légendes",-19.9333,46.9167,Centre près d'Antsirabe,Facile,2.0,5000,1.0,Avril à novembre,4.4,210,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298279-d614268,Lac de cratère sacré aux eaux profondes et légendes locales,Voiture ou taxi,Accès raide,2
165,Marojejy National Park,Sava,Andapa,Nature et parcs nationaux,"Massif montagneux, Forêt primaire intacte",-14.4333,49.7333,Nord-est,Moyen,,30000,6.0,Avril à novembre,4.8,260,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/marojejy-national-park,Massif avec forêt primaire et sommets élevés,Voiture + randonnée,Sentiers escarpés,4
166,Zombitse-Vohibasia National Park,Atsimo-Andrefana,Sakaraha,Nature et parcs nationaux,"Forêt de transition, Avifaune endémique",-22.85,44.7,Sud-ouest,Moyen,4.0,15000,3.0,Mai à novembre,4.5,160,SafariBookings,https://www.safaribookings.com/parks/zombitse-vohibasia-national-park,Forêt de transition riche en oiseaux endémiques,Voiture depuis Toliara,Aucune,1
167,Analavelona Forest,Atsimo-Andrefana,Toliara,Nature et parcs nationaux,"Forêt sacrée, Montagne, Plantes médicinales",-22.6667,44.2,Sud-ouest,Moyen,8.0,18000,3.6,Juin à octobre,4.4,110,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/analavelona-forest,Forêt sacrée isolée avec écosystèmes uniques et plantes médicinales,Voiture + randonnée,Sentiers rocheux,1
168,Tsarabanjina Island,Diana,Nosy Be,Plages et littoral,"Île privée, Luxe, Snorkeling",-13.4,48.5,Archipel Mitsio nord,Facile,24.0,100000,20.0,Mai à octobre,4.9,210,Scott Dunn,https://www.scottdunn.com/madagascar/places-to-visit/tsarabanjina-island,Île privée paradisiaque avec snorkeling et hébergement luxe,Bateau ou hélicoptère,Accès réservé,7
169,Nosy Sakatia,Diana,Nosy Be,Plages et littoral,"Île, Plages, Snorkeling",-13.4,48.25,Archipel Nosy Be,Facile,4.0,15000,3.0,Mai à octobre,4.6,670,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d614260,Île aux plages calmes et paradis sous-marin,Bateau depuis Nosy Be,Aucune,0
170,Mont Passot,Diana,Nosy Be,Aventure et randonnée,"Point culminant, Panorama 360°, Lac sacré",-13.3833,48.2333,Centre de Nosy Be,Facile,2.5,10000,2.0,Mai à octobre,4.5,520,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/mont-passot,Point culminant de Nosy Be avec vue panoramique et lacs sacrés,Voiture ou marche,Coucher de soleil idéal,0
171,Nosy Iranja,Diana,Nosy Be,Plages et littoral,"Île double, Banc de sable, Tortues marines",-13.65,47.6,Archipel Nosy Be sud-ouest,Facile,8.0,30000,6.0,Mai à octobre,4.8,950,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d614269-Reviews-Nosy_Iranja-Nosy_Be_Antsiranana_Province.html,"Île reliée par banc de sable blanc, paradis pour tortues marines",Bateau depuis Nosy Be,Marées basses obligatoires,3
172,Lokobe Reserve (strict),Diana,Nosy Be,Nature et parcs nationaux,"Forêt primaire, Lémuriens noirs, Crocodiles",-13.4167,48.3167,Sud-est de Nosy Be,Moyen,4.0,20000,4.0,Mai à octobre,4.5,680,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/lokobe-reserve,Réserve stricte de forêt primaire avec lémuriens noirs,Bateau + pirogue + marche,Sentiers boueux,0
173,Hell-Ville (Nosy Be),Diana,Hell-Ville,Culture et histoire,"Capitale Nosy Be, Marché, Plantations ylang",-13.4,48.2667,Centre-ville Nosy Be,Facile,2.0,0,0.0,Mai à octobre,4.3,450,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g479206-d614270-Reviews-Hell-Ville-Nosy_Be_Antsiranana_Province.html,Ville principale de Nosy Be avec marché et plantations d'ylang-ylang,Tuk-tuk ou marche,Aucune,0
174,Parc National de Zahamena,Alaotra-Mangoro,Manakambahiny,Nature et parcs nationaux,"Forêt humide, Lémuriens, Cascades",-17.5,48.75,Est près de Toamasina,Moyen,8.0,20000,4.0,Avril à novembre,4.4,180,SafariBookings,https://www.safaribookings.com/parks/zahamena-national-park,Parc isolé avec forêt humide et cascades cachées,4x4 + guide,Accès difficile,3
175,Réserve de Kalalao (Sainte Marie),Analanjirofo,Ambodifotatra,Observation animalière,"Lémuriens, Forêt littorale, Oiseaux",-17.0167,49.85,Île Sainte Marie,Facile,2.5,15000,3.0,Juin à septembre,4.5,250,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/ile-sainte-marie,Réserve privée pour lémuriens et oiseaux sur Sainte Marie,Taxi ou marche locale,Aucune,0
176,Parc National de Midongy du Sud,Anosy,Midongy Atsimo,Nature et parcs nationaux,"Forêt humide, Montagnes, Cascades",-23.65,47.2,Sud-est isolé,Difficile,8.0,22000,4.4,Juillet à octobre,4.6,120,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/midongy-du-sud,Parc montagneux avec forêt humide et cascades isolées,4x4 + randonnée,Accès très difficile,3
177,Réserve Spéciale d'Anjanaharibe-Sud,Sava,Andapa,Nature et parcs nationaux,"Forêt primaire, Aye-aye, Lémuriens",-14.7,49.45,Nord-est près d'Andapa,Moyen,8.0,25000,5.0,Avril à novembre,4.7,140,SafariBookings,https://www.safaribookings.com/parks/anjanaharibe-sud-reserve,Réserve pour observation d'aye-aye et biodiversité rare,Voiture + guide,Sentiers denses,3
178,Parc National de Mananara Nord,Analanjirofo,Mananara Nord,Nature et parcs nationaux,"Forêt humide, Biosphère UNESCO, Mangroves",-16.45,49.7667,Nord-est côtier,Moyen,8.0,25000,5.0,Mai à octobre,4.6,190,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/mananara-nord,Réserve de biosphère avec forêt et mangroves,Voiture + bateau,Humidité élevée,3
179,Réserve de Makira,Analanjirofo,Maroantsetra,Nature et parcs nationaux,Plus grande forêt humide protégée,-15.1333,49.8333,Nord-est près de Masoala,Difficile,8.0,28000,5.6,Mai à octobre,4.8,110,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/makira-reserve,Plus grande aire protégée de forêt humide de Madagascar,4x4 + randonnée,Accès isolé,4
180,Parc National de Namoroka (Tsingy),Melaky,Soalala,Géologie et paysages,"Tsingy calcaires, Forêt sèche",-16.4667,45.3167,Ouest isolé,Difficile,8.0,25000,5.0,Juin à septembre,4.7,130,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298280-d614271-Reviews-Namoroka_National_Park-Madagascar.html,Tsingy moins visités mais impressionnants avec forêt sèche,4x4 + guide,Terrains karstiques,3
181,Parc National de Sahamalaza,Sofia,Analalava,Nature et parcs nationaux,"Parc marin, Biosphère UNESCO, Mangroves",-14.2667,47.9667,Nord-ouest côtier,Moyen,8.0,22000,4.4,Mai à octobre,4.5,160,SafariBookings,https://www.safaribookings.com/parks/sahamalaza-national-park,Parc marin et biosphère avec mangroves et dugongs,Bateau depuis Analalava,Accès maritime,3
182,Réserve de Bora,Diana,Ambilobe,Nature et parcs nationaux,"Forêt sèche, Lémuriens, Oiseaux",-13.3333,48.8333,Nord près d'Ankarana,Facile,4.0,15000,3.0,Mai à octobre,4.6,200,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/bora-reserve,Réserve privée avec lémuriens et forêt sèche,Voiture depuis Ambilobe,Aucune,0
183,Lac Kinkony,Boeny,Mitsinjo,Volcanisme et lacs,"Lac, Paradis ornithologique, Crocodiles",-16.15,45.8333,Nord-ouest,Facile,4.0,18000,3.6,Mai à octobre,4.4,140,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/lac-kinkony,"Deuxième plus grand lac, riche en oiseaux et crocodiles",Voiture + bateau,Aucune,2
184,Parc National de Marolambo,Alaotra-Mangoro,Marolambo,Nature et parcs nationaux,"Forêt primaire, Rivière Nosivolo",-20.05,48.45,Centre-est isolé,Difficile,8.0,20000,4.0,Juin à novembre,4.5,90,SafariBookings,https://www.safaribookings.com/parks/marolambo-national-park,Forêt primaire avec rivière sacrée Nosivolo,4x4 + randonnée,Accès très isolé,3
185,Réserve de Tampolo,Analanjirofo,Fenoarivo Atsinanana,Écotourisme,"Forêt littorale, Station de recherche",-17.3667,49.4167,Côte est près de Toamasina,Facile,2.5,12000,2.4,Mai à octobre,4.3,110,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/tampolo-reserve,Forêt littorale protégée et station écologique,Voiture ou taxi-brousse,Aucune,0
186,Parc marin de Masoala,Analanjirofo,Maroantsetra,Nature et parcs nationaux,"Récifs coralliens, Mangroves, Baleines",-15.7167,50.3167,Péninsule Masoala marine,Moyen,8.0,35000,7.0,Mai à octobre,4.7,180,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/masoala-marine,Zone marine protégée avec récifs et observation baleines,Bateau depuis Maroantsetra,Météo marine,4
187,Nosy Mangabe Special Reserve,Analanjirofo,Maroantsetra,Observation animalière,"Île-réserve, Aye-aye, Lémuriens nocturnes",-15.5,49.7667,Baie d'Antongil,Moyen,4.0,15000,3.0,Mai à octobre,4.6,220,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298281-d614272-Reviews-Nosy_Mangabe-Madagascar.html,Île-réserve pour aye-aye et espèces nocturnes rares,Bateau depuis Maroantsetra,Accès nocturne limité,0
188,Vallée du Tsiribihina,Menabe,Belo sur Tsiribihina,Aventure et randonnée,"Descente en chaland, Paysages grandioses",-19.5333,45.4667,Ouest centre,Moyen,,25000,5.0,Mai à octobre,4.7,650,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/tsiribihina-river,Descente fluviale pittoresque avec paysages canyon-like,Bateau chaland organisé,Soleil intense,3
189,Lac Alaotra,Alaotra-Mangoro,Ambatondrazaka,Volcanisme et lacs,"Plus grand lac, Grenier à riz, Oiseaux",-17.5,48.6333,Centre-est,Facile,4.0,0,0.0,Mai à octobre,4.3,180,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/lac-alaotra,"Plus grand lac de Madagascar, zone rizicole et ornithologique",Voiture ou taxi-brousse,Aucune,2
190,Réserve de Daraina (Tsimanampesotse),Atsimo-Andrefana,Ampanihy Ouest,Observation animalière,"Forêt épineuse, Lémuriens, Tortues",-24.1,43.75,Sud-ouest près de Toliara,Moyen,8.0,20000,4.0,Avril à décembre,4.6,140,SafariBookings,https://www.safaribookings.com/parks/tsimanampesotse-national-park,"Parc avec lac salé et forêt épineuse, tortues radiées",4x4 depuis Toliara,Chaleur extrême,1
191,Parc National d'Andringitra,Haute Matsiatra,Ambalavao,Aventure et randonnée,"Massif granitique, Pic Boby, Piscines naturelles",-22.2,46.8833,"Sud centre, près d'Ambalavao",Difficile,,30000,6.0,Avril à novembre,4.8,380,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/andringitra-national-park,Massif montagneux avec Pic Boby (2e plus haut sommet) et randonnées,Voiture + guide + randonnée,Altitude et météo variable,3
192,Réserve d'Anja (extension),Haute Matsiatra,Ambalavao,Observation animalière,"Lémuriens catta, Rochers granitiques",-21.8333,46.9333,Extension sud de la réserve Anja,Facile,2.5,10000,2.0,Mai à octobre,4.7,1800,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298278-d614265-Reviews-Anja_Reserve-Madagascar.html,Zone élargie avec plus de makis catta et rochers spectaculaires,Voiture depuis Ambalavao,Aucune,5
193,Train FCE (Fianarantsoa-Côte Est),Haute Matsiatra,Fianarantsoa,Culture et histoire,"Train pittoresque, Paysages montagneux",-21.4536,47.0858,Trajet Fianarantsoa à Manakara,Moyen,8.0,30000,6.0,Mai à octobre,4.6,950,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/fce-train,"Trajet mythique traversant forêts, rizières et villages",Train organisé,Retards possibles,5
194,Vignobles de Fianarantsoa,Haute Matsiatra,Fianarantsoa,Gastronomie et vignobles,"Vignobles malgaches, Dégustation vin",-21.4536,47.0858,Ville haute de Fianarantsoa,Facile,1.5,8000,1.6,Avril à novembre,4.4,320,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/fianarantsoa-vineyards,Vignobles produisant vins malgaches uniques,Taxi ou marche,Aucune,2
195,Sources thermales d'Antsirabe,Vakinankaratra,Antsirabe,Thermalisme et bien-être,"Sources chaudes, Bains thermaux",-19.8667,47.0333,Centre-ville Antsirabe,Facile,4.0,5000,1.0,Toute l'année,4.3,410,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298279-d614273-Reviews-Thermal_Springs-Antsirabe_Antananarivo_Province.html,Sources thermales naturelles pour bains relaxants,Taxi ou pousse-pousse,Eau très chaude,2
196,Lac Andraikiba,Vakinankaratra,Antsirabe,Volcanisme et lacs,"Lac de cratère, Activités nautiques",-19.9167,47.0667,Sud d'Antsirabe,Facile,2.5,0,0.0,Avril à novembre,4.4,280,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/lac-andraikiba,Lac de cratère avec pédalos et paysages verdoyants,Taxi ou marche,Aucune,2
197,Betafo & rizières en terrasses,Vakinankaratra,Betafo,Culture et histoire,"Rizières en escalier, Village thermal",-19.8333,46.85,Près d'Antsirabe,Facile,2.5,0,0.0,Toute l'année,4.5,350,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/betafo,Village classé UNESCO pour rizières en terrasses traditionnelles,Voiture ou taxi,Aucune,2
198,Lac Itasy,Itasy,Arivonimamo,Volcanisme et lacs,"Lac volcanique, Paysages lunaires",-19.0667,46.7833,Région Itasy,Facile,4.0,0,0.0,Avril à novembre,4.3,190,SafariBookings,https://www.safaribookings.com/blog/lac-itasy-madagascar,Lac de cratère avec volcans éteints et cascades,Voiture depuis Antananarivo,Aucune,2
199,Chute de la Lily,Itasy,Arivonimamo,Nature et parcs nationaux,"Cascade pittoresque, Randonnée légère",-19.0333,46.8,Près du lac Itasy,Facile,1.5,5000,1.0,Avril à novembre,4.4,150,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298282-d614274-Reviews-Lily_Falls-Madagascar.html,Cascade rafraîchissante entourée de végétation,Voiture + courte marche,Sentier glissant,2
200,Massif de Tsaratanana,Betsiboka,Bealanana,Aventure et randonnée,"Plus haut sommet, Maromokotro",-16.7833,47.65,Nord centre,Très difficile,,40000,8.0,Avril à novembre,4.8,80,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/tsaratanana-massif,Massif avec le point culminant de Madagascar (Maromokotro),Expédition guidée + 4x4,"Altitude élevée, logistique",4
201,Pic Saint-Louis,Anosy,Taolagnaro,Aventure et randonnée,"Point de vue panoramique, Randonnée",-25.05,46.9833,Près de Fort Dauphin,Moyen,2.0,5000,1.0,Mai à novembre,4.5,220,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/pic-saint-louis,Panorama spectaculaire sur Fort Dauphin et océan,Voiture + randonnée,Soleil intense,6
202,Plage de Libanona,Anosy,Taolagnaro,Plages et littoral,"Plage urbaine, Surf, Couchers de soleil",-25.0318,46.9993,Centre de Fort Dauphin,Facile,2.5,0,0.0,Mai à novembre,4.4,380,TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g298283-d614275-Reviews-Libanona_Beach-Madagascar.html,Plage urbaine animée avec vagues pour surf,Marche ou taxi local,Aucune,6
203,Rivière Onilahy,Atsimo-Andrefana,Betioky Sud,Aventure et randonnée,"Fleuve, Canyons, Crocodiles",-21.6667,45.1667,Sud-ouest,Moyen,1.5,0,0.0,Avril à décembre,4.3,120,SafariBookings,https://www.safaribookings.com/blog/onilahy-river-madagascar,Grand fleuve du sud avec paysages canyon-like,Voiture + pirogue,Courants variables,6
204,Oasis d'Amboasary Sud,Anosy,Amboasary Sud,Nature et parcs nationaux,"Zone humide, Agriculture oasienne",-25.0333,46.3833,Sud près de Fort Dauphin,Facile,2.0,8000,1.6,Mai à octobre,4.2,90,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/amboasary-oasis,Oasis en milieu aride avec cultures maraîchères,Voiture depuis Taolagnaro,Chaleur,6
205,Mines de saphirs de Ilakaka,Ihorombe,Ilakaka,Culture et histoire,"Mines artisanales, Saphirs",-22.7667,45.2333,Sud centre,Facile,1.5,0,0.0,Toute l'année,4.1,180,Audley Travel,https://www.audleytravel.com/madagascar/places-to-go/ilakaka-sapphire-mines,Zone d'extraction artisanale de saphirs bleus,Voiture + guide local,Sécurité minière,6
206,Forêt de Mikea,Atsimo-Andrefana,Manja,Nature et parcs nationaux,"Forêt épineuse, Peuple Mikea nomade",-22.5,43.5,Sud-ouest isolé,Moyen,8.0,25000,5.0,Avril à décembre,4.5,130,Lonely Planet,https://www.lonelyplanet.com/madagascar/attractions/mikea-forest,Forêt sèche habitée par le peuple Mikea semi-nomade,4x4 + guide,Accès difficile,1
207,Parc National de Tsimanampetsotsa,Atsimo-Andrefana,Betioky Sud,Nature et parcs nationaux,"Lac salé, Forêt épineuse, Tortues radiées",-24.1,43.75,Sud-ouest,Moyen,8.0,20000,4.0,Avril à décembre,4.6,290,SafariBookings,https://www.safaribookings.com/parks/tsimanampetsotse-national-park,Parc avec lac salé et tortues radiées endémiques,4x4 depuis Toliara,Chaleur et poussière,1
